Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
19-JUN-2024,23629.85,23664,23412.9,23516,328811255,39430.39
20-JUN-2024,23586.15,23624,23442.6,23567,280336970,33390.07
21-JUN-2024,23661.15,23667.1,23398.2,23501.1,609877803,70062.97
24-JUN-2024,23382.3,23558.1,23350,23537.85,239358460,24862.37
25-JUN-2024,23577.1,23754.15,23562.05,23721.3,298111025,34263.36
